image,dice,iou
sample_0138_heatmap.png,0.430796,0.275330
sample_0139_heatmap.png,0.902959,0.823114
sample_0140_heatmap.png,0.009009,0.009009
sample_0141_heatmap.png,0.903308,0.823724
sample_0142_heatmap.png,0.961400,0.925679
sample_0143_heatmap.png,0.788636,0.651105
sample_0144_heatmap.png,0.917358,0.847355
sample_0145_heatmap.png,0.949305,0.903513
sample_0146_heatmap.png,0.727483,0.572464
sample_0147_heatmap.png,0.968872,0.939633
sample_0148_heatmap.png,0.856387,0.748870
sample_0149_heatmap.png,0.918621,0.849523
sample_0150_heatmap.png,0.941789,0.890000
sample_0151_heatmap.png,0.905461,0.827305
sample_0152_heatmap.png,0.777502,0.636179
sample_0153_heatmap.png,0.322953,0.192814
sample_0154_heatmap.png,0.647495,0.479452
sample_0155_heatmap.png,0.801047,0.668329
sample_0156_heatmap.png,0.821741,0.697446
sample_0157_heatmap.png,0.845311,0.732143
sample_0158_heatmap.png,0.859727,0.754045
sample_0159_heatmap.png,0.954152,0.912334
sample_0160_heatmap.png,0.859486,0.753750
sample_0161_heatmap.png,0.965999,0.934244
sample_0162_heatmap.png,0.901752,0.821113
sample_0163_heatmap.png,0.861457,0.756698
sample_0164_heatmap.png,0.924248,0.859191
sample_0165_heatmap.png,0.947582,0.900406
sample_0166_heatmap.png,0.486111,0.323171
sample_0167_heatmap.png,0.856810,0.749592
sample_0168_heatmap.png,0.891332,0.804077
sample_0169_heatmap.png,0.850156,0.739602
sample_0170_heatmap.png,0.005882,0.005882
sample_0171_heatmap.png,0.726902,0.571429
sample_0172_heatmap.png,0.906124,0.828413
sample_0173_heatmap.png,0.922705,0.857143
sample_0174_heatmap.png,0.839200,0.722988
sample_0175_heatmap.png,0.822249,0.698181
sample_0176_heatmap.png,0.949416,0.903717
sample_0177_heatmap.png,0.843820,0.729857
sample_0178_heatmap.png,0.061611,0.034146
sample_0179_heatmap.png,0.917621,0.847806
sample_0180_heatmap.png,0.686414,0.522604
sample_0181_heatmap.png,0.398204,0.250000
sample_0182_heatmap.png,0.913655,0.841094
sample_0183_heatmap.png,0.863100,0.759336
sample_0184_heatmap.png,0.915222,0.843750
sample_0185_heatmap.png,0.918136,0.848720
sample_0186_heatmap.png,0.672414,0.506619
sample_0187_heatmap.png,0.874885,0.777642
sample_0188_heatmap.png,0.567245,0.396065
sample_0189_heatmap.png,0.975006,0.951237
sample_0190_heatmap.png,0.942667,0.891578
sample_0191_heatmap.png,0.954640,0.913232
sample_0192_heatmap.png,0.829422,0.708598
sample_0193_heatmap.png,0.547897,0.377814
sample_0194_heatmap.png,0.844079,0.730321
