image,dice,iou
sample_0145_baseline.png,0.946247,0.897990
sample_0146_baseline.png,0.796392,0.662393
sample_0147_baseline.png,0.968331,0.938616
sample_0148_baseline.png,0.966653,0.935467
sample_0149_baseline.png,0.956887,0.917355
sample_0150_baseline.png,0.950940,0.906484
sample_0151_baseline.png,0.875614,0.778809
sample_0152_baseline.png,0.913435,0.840764
sample_0153_baseline.png,0.318731,0.189820
sample_0154_baseline.png,0.548246,0.378270
sample_0155_baseline.png,0.862630,0.758581
sample_0156_baseline.png,0.675326,0.509847
sample_0157_baseline.png,0.894122,0.808583
sample_0158_baseline.png,0.822414,0.698475
sample_0159_baseline.png,0.953380,0.910923
sample_0160_baseline.png,0.882546,0.789906
sample_0161_baseline.png,0.966989,0.936098
sample_0162_baseline.png,0.890832,0.803186
sample_0163_baseline.png,0.941262,0.889071
sample_0164_baseline.png,0.941622,0.889706
sample_0165_baseline.png,0.949005,0.902979
sample_0166_baseline.png,0.746622,0.596774
sample_0167_baseline.png,0.926863,0.863753
sample_0168_baseline.png,0.890497,0.802721
sample_0169_baseline.png,0.856749,0.749599
sample_0170_baseline.png,0.575221,0.407407
sample_0171_baseline.png,0.621993,0.451827
sample_0172_baseline.png,0.912898,0.839803
sample_0173_baseline.png,0.910314,0.836066
sample_0174_baseline.png,0.864091,0.760738
sample_0175_baseline.png,0.809719,0.680305
sample_0176_baseline.png,0.964708,0.931832
sample_0177_baseline.png,0.789991,0.652916
sample_0178_baseline.png,0.841360,0.726829
sample_0179_baseline.png,0.926743,0.863508
sample_0180_baseline.png,0.743872,0.592242
sample_0181_baseline.png,0.319876,0.191882
sample_0182_baseline.png,0.912260,0.838733
sample_0183_baseline.png,0.867590,0.766304
sample_0184_baseline.png,0.903701,0.824377
sample_0185_baseline.png,0.931397,0.871654
sample_0186_baseline.png,0.767973,0.623435
sample_0187_baseline.png,0.772705,0.629674
sample_0188_baseline.png,0.561427,0.390458
sample_0189_baseline.png,0.976799,0.954656
sample_0190_baseline.png,0.941423,0.889354
sample_0191_baseline.png,0.961371,0.925629
sample_0192_baseline.png,0.895637,0.811026
sample_0193_baseline.png,0.506011,0.339181
sample_0194_baseline.png,0.884339,0.792738
sample_0195_baseline.png,0.957464,0.918420
sample_0196_baseline.png,0.813565,0.685804
sample_0197_baseline.png,0.493177,0.328165
sample_0198_baseline.png,0.939013,0.885054
sample_0199_baseline.png,0.906113,0.828395
sample_0200_baseline.png,0.929633,0.868536
sample_0201_baseline.png,0.978371,0.957662
sample_0202_baseline.png,0.329741,0.198454
sample_0203_baseline.png,0.788026,0.650667
sample_0204_baseline.png,0.928150,0.865979
sample_0205_baseline.png,0.907082,0.829996
sample_0206_baseline.png,0.833981,0.715474
sample_0207_baseline.png,0.825726,0.703529
sample_0208_baseline.png,0.789801,0.652673
sample_0209_baseline.png,0.652373,0.484167
sample_0210_baseline.png,0.794511,0.659267
sample_0211_baseline.png,0.876422,0.780129
sample_0212_baseline.png,0.888907,0.800059
sample_0213_baseline.png,0.617694,0.447489
sample_0214_baseline.png,0.956512,0.916667
sample_0215_baseline.png,0.956646,0.916928
sample_0216_baseline.png,0.961340,0.925566
sample_0217_baseline.png,0.925915,0.862088
sample_0218_baseline.png,0.789773,0.654206
sample_0219_baseline.png,0.869811,0.769744
sample_0220_baseline.png,0.776880,0.635205
sample_0221_baseline.png,0.879799,0.785481
sample_0222_baseline.png,0.945485,0.896620
sample_0223_baseline.png,0.933076,0.874572
sample_0224_baseline.png,0.950564,0.905807
sample_0225_baseline.png,0.951387,0.907295
sample_0226_baseline.png,0.928544,0.866643
sample_0227_baseline.png,0.701578,0.540839
sample_0228_baseline.png,0.532537,0.363472
sample_0229_baseline.png,0.944892,0.895564
sample_0230_baseline.png,0.792140,0.656069
sample_0231_baseline.png,0.917786,0.848092
sample_0232_baseline.png,0.835436,0.717514
sample_0233_baseline.png,0.751778,0.602350
sample_0234_baseline.png,0.963766,0.930084
sample_0235_baseline.png,0.920720,0.853103
sample_0236_baseline.png,0.933486,0.875292
sample_0237_baseline.png,0.970568,0.942828
sample_0238_baseline.png,0.792981,0.657119
sample_0239_baseline.png,0.724218,0.568058
sample_0240_baseline.png,0.256010,0.147383
sample_0241_baseline.png,0.845455,0.732384
sample_0242_baseline.png,0.916367,0.845667
sample_0243_baseline.png,0.870919,0.771375
sample_0244_baseline.png,0.858031,0.751386
sample_0245_baseline.png,0.745614,0.597222
sample_0246_baseline.png,0.933526,0.875451
sample_0247_baseline.png,0.922865,0.857143
sample_0248_baseline.png,0.915667,0.844499
sample_0249_baseline.png,0.959233,0.921677
sample_0250_baseline.png,0.969676,0.941142
sample_0251_baseline.png,0.722533,0.565647
sample_0252_baseline.png,0.918374,0.849093
sample_0253_baseline.png,0.519295,0.351076
sample_0254_baseline.png,0.937627,0.882590
sample_0255_baseline.png,0.553957,0.384106
sample_0256_baseline.png,0.871631,0.772526
sample_0257_baseline.png,0.171538,0.094197
sample_0258_baseline.png,0.817968,0.692045
sample_0259_baseline.png,0.885094,0.793909
sample_0260_baseline.png,0.957050,0.917659
sample_0261_baseline.png,0.339080,0.204545
sample_0262_baseline.png,0.874486,0.777372
sample_0263_baseline.png,0.740192,0.587629
sample_0264_baseline.png,0.718030,0.560164
sample_0265_baseline.png,0.978842,0.958568
sample_0266_baseline.png,0.877209,0.781336
sample_0267_baseline.png,0.836930,0.720165
sample_0268_baseline.png,0.921308,0.854110
sample_0269_baseline.png,0.957756,0.918953
sample_0270_baseline.png,0.563910,0.395833
sample_0271_baseline.png,0.708333,0.548926
sample_0272_baseline.png,0.001610,0.001610
sample_0273_baseline.png,0.445857,0.287099
sample_0274_baseline.png,0.937395,0.882176
